9,21500,27,19700,Petrol
11,20950,25,31461,Petrol
12,19950,22,43610,Petrol
13,19600,25,32189,Petrol
14,21500,31,23000,Petrol
15,22500,32,34131,Petrol
16,22000,28,18739,Petrol
17,22750,30,34000,Petrol
18,17950,24,21716,Petrol
19,16750,24,25563,Petrol
20,16950,30,64359,Petrol
21,15950,30,67660,Petrol
23,15950,28,56349,Petrol
24,16950,28,32220,Petrol
25,16250,29,25813,Petrol
26,15950,25,28450,Petrol
28,15750,29,41415,Petrol
29,16950,28,44142,Petrol
31,12950,29,9750,Petrol
32,15750,22,35199,Petrol
33,15950,27,29510,Petrol
35,15500,22,41000,Petrol
36,15750,26,43000,Petrol
37,15950,25,25000,Petrol
38,14950,23,10000,Petrol
39,15750,32,25329,Petrol
40,14750,27,27500,Petrol
41,13950,22,49059,Petrol
42,16750,27,44068,Petrol
43,13950,22,46961,Petrol
48,15800,22,75048,Petrol
50,21950,31,64982,Petrol
52,15750,30,57086,Petrol
53,20500,26,56000,Petrol
54,21950,27,49866,Petrol
55,15500,25,49163,Petrol
57,15250,28,43210,Petrol
58,15250,26,43000,Petrol
59,18950,23,39704,Petrol
60,15999,30,38950,Petrol
62,16500,27,37177,Petrol
63,18750,31,36544,Petrol
64,17950,30,33511,Petrol
65,17950,27,32809,Petrol
66,16950,26,32181,Petrol
67,18950,28,30993,Petrol
68,14950,22,30400,Petrol
70,15950,25,29719,Petrol
71,15950,28,29206,Petrol
72,12995,32,29198,Petrol
73,18950,28,28817,Petrol
74,15750,23,28227,Petrol
75,19950,28,28000,Petrol
76,16950,23,28000,Petrol
77,18750,31,25266,Petrol
78,18450,27,23489,Petrol
79,16895,29,22575,Petrol
80,14900,30,22000,Petrol
81,18950,25,20019,Petrol
82,17250,29,20000,Petrol
83,15450,25,17003,Petrol
85,16650,25,15414,Petrol
86,17450,28,8537,Petrol
89,15950,19,51884,Petrol
91,16450,20,48110,Petrol
94,15950,20,33329,Petrol
95,18900,20,31850,Petrol
97,15950,19,29435,Petrol
98,15950,19,25948,Petrol
99,18750,11,24500,Petrol
100,17450,18,23902,Petrol
